<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
US2.AAPL,60,20181226,200000,147.0000000,150.7500000,146.7300000,150.7500000,363438
US2.AAPL,60,20181226,210000,150.7200000,152.4400000,150.5500000,152.3700000,376595
US2.AAPL,60,20181226,220000,152.3700000,153.1800000,150.6900000,153.0600000,309677
US2.AAPL,60,20181226,230000,153.1700000,153.9200000,152.6400000,153.9200000,333543
US2.AAPL,60,20181227,000000,153.8700000,157.2200000,153.4400000,157.1500000,731228
US2.AAPL,60,20181227,180000,155.9000000,156.1300000,153.1000000,153.6200000,387864
US2.AAPL,60,20181227,190000,153.5400000,154.1200000,151.4400000,151.6600000,566454
US2.AAPL,60,20181227,200000,151.6200000,153.1100000,151.3500000,152.5900000,370562
US2.AAPL,60,20181227,210000,152.5700000,152.6600000,150.9800000,152.0800000,261087
US2.AAPL,60,20181227,220000,152.0300000,152.1200000,150.1600000,150.4000000,204614
US2.AAPL,60,20181227,230000,150.3600000,152.4000000,150.0800000,152.4000000,279650
US2.AAPL,60,20181228,000000,152.4200000,156.5900000,151.6900000,156.4700000,618644
US2.AAPL,60,20181228,180000,157.4700000,157.6500000,155.2100000,156.7300000,366563
US2.AAPL,60,20181228,190000,156.7500000,156.8400000,154.5500000,155.2900000,445327
US2.AAPL,60,20181228,200000,155.3400000,157.1600000,155.0000000,156.9200000,292359
US2.AAPL,60,20181228,210000,156.9800000,157.2200000,156.0400000,156.2100000,229044
US2.AAPL,60,20181228,220000,156.2300000,156.4100000,155.3000000,156.0200000,160742
US2.AAPL,60,20181228,230000,156.0700000,158.5200000,156.0700000,158.3800000,283632
US2.AAPL,60,20181229,000000,158.3950000,158.5000000,155.6800000,156.1700000,498545
US2.AAPL,60,20181231,180000,158.5000000,159.3300000,157.4900000,157.9100000,202950
US2.AAPL,60,20181231,190000,157.9200000,158.2300000,156.5100000,157.0300000,235523
US2.AAPL,60,20181231,200000,157.0700000,158.1400000,156.9100000,157.9700000,215801
US2.AAPL,60,20181231,210000,157.9900000,158.9400000,157.7800000,158.3500000,136387
US2.AAPL,60,20181231,220000,158.4000000,158.4700000,157.4500000,157.5600000,110059
US2.AAPL,60,20181231,230000,157.5800000,157.8100000,156.8900000,157.3700000,133043
US2.AAPL,60,20190101,000000,157.3600000,157.7500000,156.6300000,157.7500000,285675
US2.AAPL,60,20190102,180000,154.9000000,155.5000000,154.2500000,155.2000000,275781
US2.AAPL,60,20190102,190000,155.1800000,157.1900000,154.5800000,156.8500000,311986
US2.AAPL,60,20190102,200000,156.9200000,158.4200000,156.7400000,157.0300000,245874
US2.AAPL,60,20190102,210000,157.0600000,158.3800000,156.9400000,158.1500000,181634
US2.AAPL,60,20190102,220000,158.1800000,158.8000000,158.1700000,158.7200000,143823
US2.AAPL,60,20190102,230000,158.7300000,158.7300000,157.7700000,157.9100000,128997
US2.AAPL,60,20190103,000000,157.9000000,158.0100000,156.7500000,157.8800000,333450
US2.AAPL,60,20190103,180000,143.9800000,144.9100000,142.8100000,144.4100000,964633
US2.AAPL,60,20190103,190000,144.4000000,144.4000000,142.0900000,143.1800000,879107
US2.AAPL,60,20190103,200000,143.1800000,145.4900000,143.1500000,144.7300000,492461
US2.AAPL,60,20190103,210000,144.7300000,145.7100000,144.4200000,145.0600000,251325
US2.AAPL,60,20190103,220000,145.0300000,145.1600000,142.9000000,142.9600000,272097
US2.AAPL,60,20190103,230000,142.9300000,143.9450000,142.5000000,142.6200000,226384
US2.AAPL,60,20190104,000000,142.6500000,143.3200000,142.0000000,142.0850000,446583
US2.AAPL,60,20190104,180000,144.4500000,145.4000000,143.8000000,145.3800000,348404
US2.AAPL,60,20190104,190000,145.3700000,147.2300000,145.2200000,147.1900000,548670
US2.AAPL,60,20190104,200000,147.1600000,147.9700000,146.9800000,147.1300000,356832
US2.AAPL,60,20190104,210000,147.1000000,147.8100000,146.8600000,147.5400000,238353
US2.AAPL,60,20190104,220000,147.5250000,148.5200000,147.4700000,147.8500000,311975
US2.AAPL,60,20190104,230000,147.8600000,148.3400000,147.1600000,147.1700000,205766
US2.AAPL,60,20190105,000000,147.1600000,148.2800000,147.0800000,148.2700000,354907
US2.AAPL,60,20190107,180000,148.6600000,148.8200000,146.4300000,147.2700000,447151
US2.AAPL,60,20190107,190000,147.2600000,148.8200000,146.7000000,148.0400000,531531
US2.AAPL,60,20190107,200000,148.0100000,148.0100000,145.9100000,147.2400000,523733
US2.AAPL,60,20190107,210000,147.2600000,147.8800000,146.8200000,147.7000000,225063
US2.AAPL,60,20190107,220000,147.6700000,148.1200000,146.6100000,146.8900000,270893
US2.AAPL,60,20190107,230000,146.8500000,147.1800000,146.2200000,147.0000000,220504
US2.AAPL,60,20190108,000000,146.9600000,148.4000000,146.9500000,147.8300000,452247
US2.AAPL,60,20190108,180000,149.7400000,150.0500000,148.9000000,149.0500000,345524
US2.AAPL,60,20190108,190000,149.0200000,149.7200000,148.5300000,148.9000000,366400
US2.AAPL,60,20190108,200000,148.9100000,150.2200000,148.8200000,149.5100000,223689
US2.AAPL,60,20190108,210000,149.4800000,150.7100000,149.4300000,149.9900000,208680
US2.AAPL,60,20190108,220000,150.0100000,151.4300000,149.7600000,151.3000000,246062
US2.AAPL,60,20190108,230000,151.2600000,151.8000000,150.7500000,151.4300000,167945
US2.AAPL,60,20190109,000000,151.3900000,151.4200000,150.5650000,150.8000000,306545
US2.AAPL,60,20190109,180000,151.5500000,152.0400000,149.6700000,151.8100000,438956
US2.AAPL,60,20190109,190000,151.8000000,152.7900000,151.4000000,152.5200000,511775
US2.AAPL,60,20190109,200000,152.4900000,154.0300000,152.3400000,153.8300000,466223
US2.AAPL,60,20190109,210000,153.8300000,154.3600000,153.6800000,153.8300000,260585
US2.AAPL,60,20190109,220000,153.8600000,154.2000000,153.5400000,153.9000000,183419
US2.AAPL,60,20190109,230000,153.8900000,154.5100000,152.9300000,153.7700000,215712
US2.AAPL,60,20190110,000000,153.7900000,154.4900000,153.1600000,153.3400000,283954
US2.AAPL,60,20190110,180000,152.5000000,152.7500000,150.8700000,151.3200000,299591
US2.AAPL,60,20190110,190000,151.3300000,152.7000000,151.1000000,152.5200000,320680
US2.AAPL,60,20190110,200000,152.5300000,153.0600000,152.0000000,153.0000000,196703
US2.AAPL,60,20190110,210000,152.9900000,153.6300000,152.6800000,153.4500000,150652
US2.AAPL,60,20190110,220000,153.4400000,153.4500000,152.3200000,152.7500000,178113
US2.AAPL,60,20190110,230000,152.7900000,153.5400000,152.7800000,153.1800000,131479
US2.AAPL,60,20190111,000000,153.1700000,153.9600000,153.0000000,153.7800000,262333
US2.AAPL,60,20190111,180000,152.8800000,153.6700000,152.7900000,153.1100000,202584
US2.AAPL,60,20190111,190000,153.0900000,153.4800000,152.0800000,152.8400000,260266
US2.AAPL,60,20190111,200000,152.8300000,152.9900000,151.8500000,152.3600000,208294
US2.AAPL,60,20190111,210000,152.3500000,152.6800000,152.2100000,152.4300000,141229
US2.AAPL,60,20190111,220000,152.4300000,152.4500000,151.5150000,151.6900000,187706
US2.AAPL,60,20190111,230000,151.6600000,152.3000000,151.5500000,152.1700000,130323
US2.AAPL,60,20190112,000000,152.1300000,152.5900000,152.0100000,152.1600000,242731
US2.AAPL,60,20190114,180000,150.9600000,151.2500000,149.8100000,150.0000000,393970
US2.AAPL,60,20190114,190000,150.0300000,150.4600000,149.8600000,150.0900000,340228
US2.AAPL,60,20190114,200000,150.0500000,150.1700000,149.2200000,149.7500000,240753
US2.AAPL,60,20190114,210000,149.7600000,150.7900000,149.5600000,150.3100000,179371
US2.AAPL,60,20190114,220000,150.3300000,150.3600000,149.8700000,150.0500000,113847
US2.AAPL,60,20190114,230000,150.0300000,150.1100000,149.6800000,150.0300000,122930
US2.AAPL,60,20190115,000000,150.0000000,150.1000000,149.4800000,149.9800000,311430
US2.AAPL,60,20190115,180000,150.2700000,151.9000000,150.0500000,151.5600000,202540
US2.AAPL,60,20190115,190000,151.6000000,152.6100000,151.3200000,151.9000000,294495
US2.AAPL,60,20190115,200000,151.8900000,152.6100000,151.3300000,152.5300000,159027
US2.AAPL,60,20190115,210000,152.5450000,152.8900000,152.3800000,152.7000000,114768
US2.AAPL,60,20190115,220000,152.7000000,153.1800000,152.6400000,153.0700000,123341
US2.AAPL,60,20190115,230000,153.0600000,153.3900000,151.8400000,152.6700000,166593
US2.AAPL,60,20190116,000000,152.6300000,153.3600000,152.6200000,153.1000000,349794
US2.AAPL,60,20190116,180000,153.0500000,155.8600000,153.0000000,155.2300000,287584
US2.AAPL,60,20190116,190000,155.2400000,155.7500000,154.3400000,154.9200000,269266
US2.AAPL,60,20190116,200000,154.9300000,155.3900000,154.4200000,154.7800000,177721
US2.AAPL,60,20190116,210000,154.7800000,155.1700000,154.5200000,155.1200000,114405
US2.AAPL,60,20190116,220000,155.1100000,155.3400000,154.7300000,155.2700000,112735
US2.AAPL,60,20190116,230000,155.2600000,155.4000000,155.0000000,155.1700000,106658
