<TICKER>,<PER>,<DATE>,<TIME>,	<OPEN>,					<HIGH>,					<LOW>,					<CLOSE>,				<VOL>
US2.AAPL,60,20191121,200000,262.5100000,262.7900000,261.2200000,261.2700000,178849
US2.AAPL,60,20191121,210000,261.2600000,262.4400000,261.2000000,262.1800000,130379
US2.AAPL,60,20191121,220000,262.1900000,262.4800000,261.8450000,261.9300000,95332
US2.AAPL,60,20191121,230000,261.9400000,262.5850000,261.5100000,262.3600000,108434
US2.AAPL,60,20191122,000000,262.3600000,262.5300000,261.2700000,262.0800000,242760
US2.AAPL,60,20191122,180000,262.5700000,263.1700000,261.5750000,262.5200000,170623
US2.AAPL,60,20191122,190000,262.8100000,262.8900000,261.7700000,261.9200000,198641
US2.AAPL,60,20191122,200000,261.9250000,262.4800000,260.8800000,262.3100000,189024
US2.AAPL,60,20191122,210000,262.3100000,262.4300000,261.7400000,262.1700000,105650
US2.AAPL,60,20191122,220000,262.1650000,262.4100000,261.4100000,261.7300000,111952
US2.AAPL,60,20191122,230000,261.7600000,261.7600000,261.0100000,261.2600000,104198
US2.AAPL,60,20191123,000000,261.3100000,261.9850000,260.8400000,261.9300000,213066
US2.AAPL,60,20191125,180000,262.6300000,264.8400000,262.5800000,264.5700000,216667
US2.AAPL,60,20191125,190000,264.5900000,265.6400000,264.4200000,265.3100000,226866
US2.AAPL,60,20191125,200000,265.3200000,265.4700000,264.8600000,265.0800000,95278
US2.AAPL,60,20191125,210000,265.0950000,265.2200000,264.9400000,265.1000000,65879
US2.AAPL,60,20191125,220000,265.1200000,265.2500000,264.6300000,264.7300000,83602
US2.AAPL,60,20191125,230000,264.7200000,265.2700000,264.5800000,265.2500000,92319
US2.AAPL,60,20191126,000000,265.2400000,266.3700000,265.1700000,266.3300000,244808
US2.AAPL,60,20191126,180000,266.9400000,267.0400000,265.2350000,266.0300000,186762
US2.AAPL,60,20191126,190000,266.0600000,266.4900000,265.5000000,266.4100000,256581
US2.AAPL,60,20191126,200000,266.3800000,266.5400000,265.7900000,266.4000000,124778
US2.AAPL,60,20191126,210000,266.4300000,266.6900000,266.1600000,266.6000000,88494
US2.AAPL,60,20191126,220000,266.6150000,266.7800000,266.3000000,266.4100000,95255
US2.AAPL,60,20191126,230000,266.4800000,266.6200000,266.1400000,266.4600000,92543
US2.AAPL,60,20191127,000000,266.4500000,266.7000000,264.9800000,265.0200000,338784
US2.AAPL,60,20191127,180000,265.8000000,266.2600000,265.3200000,266.1300000,161514
US2.AAPL,60,20191127,190000,266.1300000,266.3800000,265.4300000,266.2100000,221608
US2.AAPL,60,20191127,200000,266.1800000,266.6000000,266.1600000,266.4300000,113942
US2.AAPL,60,20191127,210000,266.4400000,266.7000000,266.3400000,266.3600000,121068
US2.AAPL,60,20191127,220000,266.3800000,266.9000000,266.3300000,266.7800000,110244
US2.AAPL,60,20191127,230000,266.7800000,267.1100000,266.6800000,267.0100000,144914
US2.AAPL,60,20191128,000000,267.0000000,267.9500000,266.8200000,267.9200000,259982
US2.AAPL,60,20191129,180000,266.2600000,267.5500000,265.9300000,267.4400000,146574
US2.AAPL,60,20191129,190000,267.4400000,268.0000000,267.1000000,267.7100000,134504
